plot_seq,date,display_date,state_label_ko,psychology_index_0_100,participation_index_0_100,post_count
1,2026-03-21,3/21,공포,32.41,55.37,80
2,2026-03-22,3/22,공포,36.32,57.37,62
3,2026-03-23,3/23,탐욕,51.85,60.60,403
4,2026-03-24,3/24,탐욕,51.32,67.49,270
5,2026-03-25,3/25,탐욕,53.71,55.45,267
6,2026-03-26,3/26,공포,47.97,63.93,237
7,2026-03-27,3/27,공포,48.73,61.99,250
8,2026-03-28,3/28,공포,43.77,59.54,106
9,2026-03-29,3/29,신중,44.03,34.68,58
10,2026-03-30,3/30,낙관,54.14,36.37,191
11,2026-03-31,3/31,낙관,56.64,43.68,313
12,2026-04-01,4/1,낙관,59.89,40.57,296
13,2026-04-02,4/2,신중,47.95,47.06,397
14,2026-04-03,4/3,신중,47.55,40.04,195
15,2026-04-04,4/4,신중,45.07,28.53,59
16,2026-04-05,4/5,신중,44.45,29.30,62
17,2026-04-06,4/6,신중,43.05,43.22,178
18,2026-04-07,4/7,낙관,45.47,41.06,333
19,2026-04-08,4/8,낙관,48.18,43.02,435
20,2026-04-09,4/9,낙관,45.97,41.16,214
21,2026-04-10,4/10,낙관,46.17,46.18,219
22,2026-04-11,4/11,낙관,45.75,27.69,88
23,2026-04-12,4/12,신중,43.18,33.19,105
24,2026-04-13,4/13,신중,41.26,41.73,162
25,2026-04-14,4/14,낙관,67.17,45.05,268
26,2026-04-15,4/15,낙관,53.61,45.18,281
27,2026-04-16,4/16,낙관,61.91,48.59,288
28,2026-04-17,4/17,낙관,60.36,46.40,201
29,2026-04-18,4/18,신중,44.16,27.68,109
30,2026-04-19,4/19,신중,43.90,26.99,66
31,2026-04-20,4/20,낙관,45.35,39.98,169
32,2026-04-21,4/21,낙관,57.85,43.64,260
33,2026-04-22,4/22,낙관,48.48,42.11,227
34,2026-04-23,4/23,낙관,63.16,46.56,285
35,2026-04-24,4/24,낙관,65.60,41.68,239
36,2026-04-25,4/25,낙관,49.15,27.28,89
37,2026-04-26,4/26,낙관,47.98,26.35,56
38,2026-04-27,4/27,낙관,54.90,39.15,44
39,2026-04-28,4/28,낙관,46.74,45.52,251
40,2026-04-29,4/29,낙관,63.88,38.57,267
41,2026-04-30,4/30,낙관,48.21,39.66,261
42,2026-05-01,5/1,낙관,55.53,28.43,158
